A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
112,521,614,Dan Long,M,40,1399,1:20:00,02:04,289 / 1059 / 1291,10:31,5:35:08,20.05,166 / 618 / 696,04:32,4:17:02,09:48,120 / 500 / 609,11:27:10
113,522,615,Greg Arnett,M,40,1196,1:09:12,01:47,88 / 409 / 472,07:48,5:21:33,20.9,88 / 391 / 422,04:19,4:44:34,10:51,217 / 840 / 1035,11:27:24
114,524,617,Miguel Del Rincon,M,40,1460,1:11:41,01:51,129 / 537 / 630,09:23,5:33:06,20.17,149 / 580 / 650,05:08,4:28:21,10:14,163 / 639 / 776,11:27:37
115,525,618,Alex Johnson,M,40,1336,1:21:30,02:06,312 / 1132 / 1386,09:08,5:28:17,20.47,118 / 495 / 545,03:15,4:25:30,10:08,149 / 603 / 729,11:27:39
116,535,630,Frank Ledda,M,40,1355,1:11:04,01:50,116 / 497 / 578,07:51,5:32:36,20.2,145 / 566 / 636,04:18,4:32:58,10:25,174 / 694 / 848,11:28:46
117,536,631,Charles Hollinger Iii,M,40,1050,1:21:11,02:06,304 / 1112 / 1363,09:24,5:31:54,20.25,139 / 550 / 618,05:47,4:20:33,09:56,138 / 547 / 665,11:28:47
118,538,633,Luther Hall,M,40,1466,1:06:51,01:43,55 / 293 / 339,06:31,5:19:35,21.03,81 / 361 / 391,04:51,4:51:11,11:06,243 / 922 / 1149,11:28:57
119,539,634,Alexander Paa,M,40,1420,1:19:46,02:03,286 / 1048 / 1277,07:20,5:40:14,19.75,196 / 717 / 818,03:54,4:17:50,09:50,125 / 510 / 621,11:29:03
120,540,635,jay priest,M,40,1404,1:21:29,02:06,311 / 1130 / 1384,09:14,5:44:54,19.48,210 / 788 / 905,05:32,4:07:58,09:27,89 / 406 / 479,11:29:05
121,541,636,Mark Freeman,M,40,1112,1:20:03,02:04,294 / 1063 / 1296,10:24,5:28:56,20.43,124 / 506 / 559,09:58,4:19:50,09:55,134 / 538 / 653,11:29:09
122,549,646,David Guarriello,M,40,1041,1:20:55,02:05,300 / 1096 / 1339,07:43,5:33:42,20.14,155 / 590 / 664,08:53,4:18:55,09:52,131 / 526 / 640,11:30:06
123,551,648,Brad Reedy,M,40,1218,1:12:37,01:52,151 / 607 / 710,08:07,5:25:19,20.66,108 / 452 / 494,05:29,4:38:45,10:38,194 / 760 / 934,11:30:15
124,555,654,Glenn Rossitter,M,40,1168,1:11:53,01:51,133 / 551 / 645,05:28,4:59:16,22.45,22 / 137 / 146,03:46,5:10:08,11:50,316 / 1139 / 1443,11:30:30
125,557,658,Guillermo Garsed,M,40,96,1:10:57,01:50,112 / 488 / 568,08:39,5:34:35,20.08,163 / 610 / 686,10:03,4:26:53,10:11,157 / 624 / 755,11:31:05
126,560,661,John Matthews,M,40,1231,1:06:32,01:43,49 / 268 / 309,08:52,5:39:06,19.82,190 / 693 / 790,06:31,4:30:48,10:20,169 / 667 / 812,11:31:47
127,561,662,Private,M,40,1491,1:24:50,02:11,360 / 1283 / 1580,07:58,5:28:30,20.46,120 / 498 / 549,05:16,4:25:23,10:07,148 / 600 / 726,11:31:55
128,567,668,Scott Blackman,M,40,2885,1:01:14,01:35,12 / 97 / 112,04:59,5:17:32,21.16,69 / 328 / 353,03:39,5:05:14,11:39,302 / 1095 / 1376,11:32:37
129,574,675,Garrett Mccabe,M,40,1055,1:10:16,01:49,102 / 465 / 542,10:51,5:44:50,19.49,209 / 787 / 904,09:14,4:18:49,09:52,129 / 522 / 636,11:33:59
130,583,686,MICHAEL GUDAT,M,40,1271,1:10:06,01:48,100 / 458 / 535,05:59,5:18:35,21.09,75 / 348 / 375,04:20,4:56:08,11:18,261 / 985 / 1233,11:35:06
131,589,694,Dirk Jeffs,M,40,1413,1:17:50,02:00,250 / 925 / 1122,10:17,5:38:37,19.85,185 / 680 / 776,07:51,4:21:45,09:59,139 / 561 / 684,11:36:17
132,591,696,Dave Browning,M,40,1057,1:11:24,01:50,123 / 515 / 604,07:28,5:55:17,18.91,252 / 957 / 1106,04:50,4:17:35,09:49,123 / 506 / 616,11:36:32
133,594,699,Christopher Hicks,M,40,1276,1:22:16,02:07,320 / 1165 / 1432,08:09,5:39:02,19.82,188 / 688 / 785,04:49,4:22:48,10:01,142 / 569 / 694,11:37:02
134,595,700,CARLOS HERNANDEZ,M,40,1303,1:26:52,02:14,383 / 1356 / 1680,08:35,5:45:49,19.43,215 / 799 / 916,06:09,4:09:58,09:32,96 / 425 / 505,11:37:21
135,598,704,Paul Robinson,M,40,1272,1:02:22,01:36,16 / 108 / 126,06:23,5:47:55,19.31,224 / 838 / 964,06:13,4:34:46,10:29,177 / 713 / 872,11:37:37
136,605,711,Oscar Gomez Jimenez,M,40,1253,1:19:22,02:03,278 / 1017 / 1243,08:29,5:28:31,20.46,121 / 499 / 550,04:21,4:37:49,10:36,188 / 747 / 916,11:38:30
137,608,714,William Ledden,M,40,1079,1:07:57,01:45,68 / 351 / 403,08:07,5:34:29,20.09,162 / 609 / 685,05:37,4:42:34,10:47,211 / 809 / 996,11:38:42
138,609,715,Brett Troia,M,40,62,1:22:35,02:08,323 / 1174 / 1444,11:31,5:32:47,20.19,146 / 572 / 642,05:02,4:27:17,10:12,158 / 628 / 759,11:39:10
